Worklinks,Work,Creatorlink,Creator,Sourcework link,Sourcework,Countrylink,Country,Languagelink,Language,date,Latitude,Longitude
http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet,http://www.wikidata.org/entity/Q6504358,Lawrence M. Schoen,http://www.wikidata.org/entity/Q41567,Hamlet,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q1860,English,2000-02-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q3018459,David Mich么d,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2",http://www.wikidata.org/entity/Q408,Australia,,,2019-10-03T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q381768,Joel Edgerton,http://www.wikidata.org/entity/Q495954,Henry V,http://www.wikidata.org/entity/Q408,Australia,,,2019-10-03T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q30597804,Ophelia,http://www.wikidata.org/entity/Q7449334,Semi Chellas,http://www.wikidata.org/entity/Q41567,Hamlet,http://www.wikidata.org/entity/Q30,United States,,,2019-06-28T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q117265624,Romeo and Juliet: A Love Song,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q664,New Zealand,,,2013-01-01T00:00:00Z,-41.2,174
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q381768,Joel Edgerton,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1",http://www.wikidata.org/entity/Q408,Australia,,,2019-10-11T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q111836158,Richard III,,,http://www.wikidata.org/entity/Q652011,Richard III,http://www.wikidata.org/entity/Q16,Canada,,,,56,-109
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q3018459,David Mich么d,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1",http://www.wikidata.org/entity/Q408,Australia,,,2019-11-01T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q3018459,David Mich么d,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2",http://www.wikidata.org/entity/Q408,Australia,,,2019-10-11T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q381768,Joel Edgerton,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1",http://www.wikidata.org/entity/Q408,Australia,,,2019-10-17T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q59238929,Ryan North's To Be or Not to Be,,,http://www.wikidata.org/entity/Q41567,Hamlet,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q7976,American English,2015-03-18T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet,http://www.wikidata.org/entity/Q692,William Shakespeare,http://www.wikidata.org/entity/Q41567,Hamlet,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q1860,English,2000-02-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q381768,Joel Edgerton,http://www.wikidata.org/entity/Q495954,Henry V,http://www.wikidata.org/entity/Q408,Australia,,,2019-10-11T00:00:00Z,-25,133
