work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-17T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2"
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-11-01T00:00:00Z,,,http://www.wikidata.org/entity/Q408,Australia,,,,,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2"
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-11-01T00:00:00Z,,,http://www.wikidata.org/entity/Q28,Hungary,,,,,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2"
http://www.wikidata.org/entity/Q47435773,Romeo und Julia,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q48699848,"Henry VI, Part 1",based_on,2016-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q643236,"Henry VI, Part 1"
http://www.wikidata.org/entity/Q47432758,Mass für Mass,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q665446,Measure for Measure
http://www.wikidata.org/entity/Q47430757,König Lear,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q181598,King Lear
http://www.wikidata.org/entity/Q47430936,König Richard III.,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q652011,Richard III
http://www.wikidata.org/entity/Q47431004,King Richard III,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q652011,Richard III
http://www.wikidata.org/entity/Q55121273,Q55121273,edition_or_translation_of,,http://www.wikidata.org/entity/Q9056,Czech,,,,,,,http://www.wikidata.org/entity/Q662550,Shakespeare's sonnets
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-11T00:00:00Z,,,http://www.wikidata.org/entity/Q408,Australia,,,,,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1"
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-11T00:00:00Z,,,http://www.wikidata.org/entity/Q28,Hungary,,,,,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1"
http://www.wikidata.org/entity/Q47439167,Q47439167,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q221211,Twelfth Night
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-03T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1"
http://www.wikidata.org/entity/Q50871988,Hamlet (overture-fantasia),based_on,1888-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-03T00:00:00Z,,,http://www.wikidata.org/entity/Q408,Australia,,,,,http://www.wikidata.org/entity/Q495954,Henry V
http://www.wikidata.org/entity/Q47432804,Q47432804,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q665446,Measure for Measure
